model,asset,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
ridge_per_asset,LTC,0.0,strategy,-0.7476100440805159,-0.18870527232173773,0.7270464612205908,0.08081403639141777,0.11310068788448382,-0.9773038481535853,2401.0,True,-0.1930876182246264,0.5132470733210105,0.031065531071672783,-0.0323897922960033,0.9591148590201388,202.0183104452767,2403.0,0.6754057428214731
ridge_per_asset,LTC,5.0,strategy,-0.8191000041464789,-0.22872408737068628,0.7270728413676297,0.011348218630327358,0.01585342388022809,-0.9791919620905846,2402.0,True,-0.23358452297990487,0.5126309303758472,0.03097607549452899,-0.03240635945025227,0.9558640964308582,202.0183104452767,2403.0,0.6754057428214731
ridge_per_asset,LTC,20.0,strategy,-0.933433610421155,-0.3373867391897585,0.7272295444359321,-0.19699798002715202,-0.27369689214445625,-0.983967874186551,2402.0,True,-0.3428838969653121,0.5058533579790512,0.031012813705729027,-0.032381646949631346,0.9577281153725289,202.0183104452767,2403.0,0.6754057428214731
ridge_per_asset,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
zero,BTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,BTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,BTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
zero,ETH,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,ETH,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,ETH,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
zero,LTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,LTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,LTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
